Dt,Adj Close,Volume,SMAVG (15)
5/10/2016,1226.511,1012710016,1175689600
5/11/2016,1214.515,1097079040,1177429632
5/12/2016,1213.397,1114300032,1177520896
5/13/2016,1203.531,1040814976,1150003200
5/16/2016,1215.563,1049852992,1152797952
5/17/2016,1203.742,1259473024,1164664192
5/18/2016,1204.144,1006305984,1153650560
5/19/2016,1199.153,1080423936,1144325376
5/20/2016,1208.081,1216557952,1121415040
5/23/2016,1205.674,977310720,1109536256
5/24/2016,1222.902,1062195008,1098229376
5/25/2016,1231.344,1042236032,1088110080
5/26/2016,1230.699,909728704,1071669696
5/27/2016,1236.62,969582912,1060519872
5/31/2016,1236.223,1678676992,1101149952
6/1/2016,1238.559,1067480000,1104801280
6/2/2016,1242.971,1107751936,1105512704
6/3/2016,1238.82,1039265984,1100510464
6/6/2016,1245.726,1013326976,1098677888
6/7/2016,1247.682,994920128,1095015808
6/8/2016,1252.196,964328192,1075339392
6/9/2016,1249.269,940529792,1070954368
6/10/2016,1236.385,1022601984,1067099584
6/13/2016,1226.106,1029609024,1054636288
6/14/2016,1223.548,1040366016,1058840000
6/15/2016,1222.178,1044001024,1057627072
6/16/2016,1225.089,1013633024,1055720192
6/17/2016,1221.573,2572061952,1166542336
6/20/2016,1229.71,1068390976,1173129600
6/21/2016,1232.071,1013030976,1128753152
6/22/2016,1229.639,963586880,1121826944
6/23/2016,1247.104,1013947008,1115573376
6/24/2016,1201.623,3484899072,1278615552
6/27/2016,1177.348,1578150016,1316270464
6/28/2016,1198.448,1272317952,1334763648
6/29/2016,1219.612,1238214016,1353022592
6/30/2016,1236.623,1642582016,1399826176
7/1/2016,1239.52,1015070016,1399324032
7/5/2016,1229.75,1133543936,1406253056
7/6/2016,1236.473,1231762048,1419012736
7/7/2016,1236.12,991506432,1415513088
7/8/2016,1255.971,1138438016,1423833472
7/11/2016,1261.194,989950784,1318359296
7/12/2016,1270.731,1129041024,1322402688
7/13/2016,1270.154,967422272,1319362048
7/14/2016,1276.035,938095488,1317662720
7/15/2016,1275.331,1056604992,1320506496
7/18/2016,1278.309,870769408,1146231168
7/19/2016,1275.894,915286080,1102040320
7/20/2016,1281.967,897229120,1077034368
7/21/2016,1277.258,980383616,1059845696
7/22/2016,1283.571,924870528,1011998272
7/25/2016,1279.789,971871808,1009118400
7/26/2016,1281.286,1035832000,1002604224
7/27/2016,1279.607,1189549952,999790080
7/28/2016,1281.776,1059225984,1004304768
7/29/2016,1284.268,1506547968,1028845376
8/1/2016,1282.461,1044260992,1032466112
8/2/2016,1273.006,1163025024,1034731712
8/3/2016,1277.972,1064489024,1041202816
8/4/2016,1278.37,984270720,1044281152
8/5/2016,1289.597,1085545984,1046210560
8/8/2016,1288.571,944728896,1051141184
8/9/2016,1289.301,886639296,1049231424
8/10/2016,1285.133,916557696,1050519936
8/11/2016,1291.023,919049472,1046431040
8/12/2016,1290.172,844703616,1041086592
8/15/2016,1294.988,880429568,1034990400
8/16/2016,1287.105,906507776,1026368768
8/17/2016,1288.511,905270976,1007416896
8/18/2016,1292.274,915231424,997817216
8/19/2016,1290.592,1048494976,967280384
8/22/2016,1290.44,840956288,953726720
8/23/2016,1293.824,867134272,934000640
8/24/2016,1286.312,892764480,922552384
8/25/2016,1285.33,849226688,913549440
8/26/2016,1283.033,923438016,902742208
8/29/2016,1289.85,781216384,891841408
8/30/2016,1287.775,883107520,891605952
8/31/2016,1284.48,1291863040,916626304
9/1/2016,1284.717,953429312,918918272
9/2/2016,1291.22,905420416,922966080
9/6/2016,1294.762,1013556992,931841216
9/7/2016,1295.731,1039587968,940713280
9/8/2016,1292.719,997729472,946877120
9/9/2016,1259.941,1309291008,973147776
9/12/2016,1277.998,1205987968,983647296
9/13/2016,1258.287,1185504000,1006617152
9/14/2016,1257.501,1069982976,1020140416
9/15/2016,1270.404,1029342016,1029245568
9/16/2016,1265.868,2828369920,1161188480
9/19/2016,1267.093,969391616,1164252032
9/20/2016,1266.684,926666880,1173948800
9/21/2016,1280.853,1090353024,1187765120
9/22/2016,1290.509,1042766976,1171158656
9/23/2016,1283.075,1030081984,1176268928
9/26/2016,1272.31,965102208,1180247680
9/27/2016,1279.645,1019764992,1180661504
9/28/2016,1286.902,1071574976,1182793984
9/29/2016,1274.282,1127966976,1191476480
9/30/2016,1284.603,1429821952,1199511936
10/3/2016,1280.254,969961472,1183776768
10/4/2016,1273.897,1006777984,1171861760
10/5/2016,1279.598,1164462976,1178160384
10/6/2016,1279.43,950443712,1172900480
10/7/2016,1274.602,1114893952,1058668800
10/10/2016,1281.312,819783104,1048694848
